cp_true,cp_min,cp_1se,cp_pw,lfc,nRep
1,1,1,3,0.5,3
1,1,2,4,0.5,3
1,1,1,3,0.5,3
1,1,1,4,0.5,3
1,1,1,3,0.5,3
1,0,1,3,0.5,3
1,1,2,4,0.5,3
1,1,1,3,0.5,3
1,1,2,5,0.5,3
1,2,3,NA,0.5,3
1,1,1,3,0.5,3
1,1,1,4,0.5,3
1,1,2,5,0.5,3
1,1,2,4,0.5,3
1,1,1,3,0.5,3
1,1,1,5,0.5,3
1,0,0,5,0.5,3
1,0,2,4,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,2,5,0.5,3
1,1,1,3,0.5,3
1,1,1,5,0.5,3
1,1,2,5,0.5,3
1,1,1,3,0.5,3
1,1,3,NA,0.5,3
1,1,2,4,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,2,3,NA,0.5,3
1,1,1,3,0.5,3
1,1,1,4,0.5,3
1,0,2,4,0.5,3
1,0,0,3,0.5,3
1,1,1,3,0.5,3
1,2,3,NA,0.5,3
1,0,0,3,0.5,3
1,1,1,4,0.5,3
1,1,2,3,0.5,3
1,0,2,3,0.5,3
1,1,2,4,0.5,3
1,0,2,3,0.5,3
1,0,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,4,0.5,3
1,1,2,5,0.5,3
1,0,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,2,4,0.5,3
1,1,2,3,0.5,3
1,1,1,4,0.5,3
1,1,1,3,0.5,3
1,0,1,5,0.5,3
1,1,2,3,0.5,3
1,1,2,5,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,0,2,NA,0.5,3
1,1,1,3,0.5,3
1,0,2,4,0.5,3
1,1,1,4,0.5,3
1,1,1,3,0.5,3
1,0,0,4,0.5,3
1,1,1,4,0.5,3
1,0,2,3,0.5,3
1,1,1,5,0.5,3
1,1,1,3,0.5,3
1,1,1,4,0.5,3
1,1,2,4,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,2,2,4,0.5,3
1,1,1,3,0.5,3
1,1,2,5,0.5,3
1,1,1,5,0.5,3
1,1,2,5,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,0,2,4,0.5,3
1,1,1,2,0.5,3
1,1,1,3,0.5,3
1,1,1,5,0.5,3
1,1,1,4,0.5,3
1,1,3,NA,0.5,3
1,1,1,4,0.5,3
1,1,1,3,0.5,3
1,1,1,3,0.5,3
1,1,1,4,0.5,3
